Date,Close,High,Low,Open,Volume,RSI_14,SMA_20,EMA_20,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,ATRr_14,Target_Close
2026-02-13,5022.0,5043.89990234375,4946.2001953125,5022.0,232,47.782978225908074,4944.475,4881.2955785560425,138.3276471717154,-23.392949767589812,161.7205969393052,4565.169010541536,4944.475,5323.780989458464,15.342619366402456,0.6021932188715003,176.80731712492437,4882.89990234375
2026-02-17,4882.89990234375,5020.0,4847.7998046875,4882.89990234375,540,43.701097941294826,4959.200000000001,4881.448371297729,122.14722867732416,-31.658694609584842,153.805923286909,4617.05124356548,4959.200000000001,5301.348756434521,13.798546395971957,0.3884986482906408,176.62109413832263,4986.5
2026-02-18,4986.5,4987.0,4869.5,4986.5,544,47.31122559006075,4970.544995117188,4891.453288316992,116.34266666509757,-29.97060529744917,146.31327196254674,4641.465447713826,4970.544995117188,5299.62454252055,13.241185734225652,0.5242418664555532,172.39815884272815,4975.89990234375
2026-02-19,4975.89990234375,5014.7001953125,4975.89990234375,4975.89990234375,37,46.97928267842624,4977.75,4899.495822986208,109.6234987038506,-29.351818606956897,138.9753173108075,4655.216081515034,4977.75,5300.283918484966,12.959024397969618,0.4971319331856004,162.855454137444,5059.2998046875
2026-02-20,5059.2998046875,5072.7001953125,5039.5,5059.2998046875,134,49.9544088172116,4985.275000000001,4914.715249814902,109.76290634335692,-23.36992877396048,133.1328351173174,4662.491924909247,4985.275000000001,5308.058075090754,12.94945916085886,0.6146664902840503,158.13722833968015,5204.7001953125
2026-02-23,5204.7001953125,5211.60009765625,5120.2998046875,5204.7001953125,779,54.72431193582615,4996.700000000001,4942.332863671816,120.2201610812217,-10.330139228876561,130.55030031009827,4659.41929816569,4996.700000000001,5333.980701834312,13.50013816456105,0.8083487940182823,157.7203043846137,5155.7998046875
2026-02-24,5155.7998046875,5159.0,5112.7001953125,5155.7998046875,88,52.898246042081425,5000.5049804687515,4962.663048530452,123.14225074244132,-5.9264396541255735,129.0686903965669,4657.611426602586,5000.5049804687515,5343.398534334917,13.714357058155443,0.7264475701974871,153.0259969285699,5206.39990234375
2026-02-25,5206.39990234375,5206.39990234375,5166.0,5206.39990234375,1772,54.586901244089155,5006.829980468751,4985.876082226957,128.06478176307064,-0.8031269067970186,128.86790866986766,4653.2691461801705,5006.829980468751,5360.390814757332,14.123141215810948,0.7822285481317018,145.70986126626133,5176.5
2026-02-26,5176.5,5199.2001953125,5143.89990234375,5176.5,1520,53.36931802440847,5000.574975585938,5004.030741062485,128.07686050379834,-0.6328385328554589,128.7096990366538,4665.002881630493,5000.574975585938,5336.147069541383,13.421340369609178,0.7621270176855355,139.76629974724267,5230.5
2026-02-27,5230.5,5280.0,5176.7001953125,5230.5,354,55.308180144282815,4996.17998046875,5025.599241913676,130.93445085047915,1.7798014510602798,129.15464939941887,4676.193958803857,4996.17998046875,5316.166002133643,12.809227166186734,0.8661410243986266,137.17584976529676,5294.39990234375
2026-03-02,5294.39990234375,5405.0,5266.2998046875,5294.39990234375,72,57.5570869589943,5025.20498046875,5051.199304811778,136.77860129936835,6.09916151995958,130.67943977940877,4707.727563588923,5025.20498046875,5342.682397348578,12.635401664758096,0.9239591661678663,139.841860496347,5107.39990234375
2026-03-03,5107.39990234375,5303.7998046875,5023.0,5107.39990234375,1776,49.67866193652417,5049.449975585938,5056.551742671966,124.88124223454633,-4.638558035889957,129.5198002704363,4793.329164573751,5049.449975585938,5305.570786598125,10.144503351871181,0.613130062584127,149.91028508142938,5120.2001953125
2026-03-04,5120.2001953125,5180.2001953125,5117.2001953125,5120.2001953125,679,50.181346526866086,5060.274975585938,5062.613500066303,115.15790745209779,-11.489514254670809,126.6474217067686,4811.908156736365,5060.274975585938,5308.641794435511,9.816336861054246,0.6206385377969045,144.40242850195227,5065.2998046875
2026-03-05,5065.2998046875,5169.5,5054.7001953125,5065.2998046875,1701,47.96806918833002,5067.519970703125,5062.869338601655,101.84805094930016,-19.839496605974745,121.6875475552749,4828.038391119687,5067.519970703125,5307.0015502865635,9.451628448154294,0.4953646413651375,142.28795537234853,5146.10009765625
2026-03-06,5146.10009765625,5146.10009765625,5076.10009765625,5146.10009765625,1701,51.367764120254016,5081.754980468751,5070.7960775592355,96.70504656485173,-19.986000792338544,116.69104735719027,4860.725846037684,5081.754980468751,5302.784114899817,8.698929219553916,0.6455579992952629,137.89597948637723,5107.2001953125
2026-03-09,5107.2001953125,5210.39990234375,5021.2001953125,5107.2001953125,152907,49.68465398820826,5089.554980468751,5074.26313639288,88.47044924973125,-22.57647848596723,111.04692773569847,4877.079828335789,5089.554980468751,5302.0301326017125,8.349458958527359,0.541523007906137,141.56053145386812,
